"Calle, avenida, andador, carretera, manzana u otro",Número exterior o km,"Colonia, fraccionamiento, unidad habitacional o barrio",Código postal
ANTONIO DE SAAVEDRA 16VO. ALCALDE MAYOR,936,BUENA VISTA,58028
JUAN ÁLVAREZ,165 B,COLONIA GRANJAS DEL MAESTRO,58580
JUAREZ,400 A,JUAREZ,50810
CAMPECHE,32,MOLINO DE PARRAS,5801
MANUEL VILLASEÑOR,36,INFONAVIT LOMAS DE HIDALGO,58244
URANO,259,LOMAS DE PUNGUATO,58256
NUEZ,63,COLONIA VISTA HERMOSA,58187
CERRO DE VILLACHUATO,548,COLONIA LOMAS DEL TECNOLOGICO,58117
MARIANO MICHELENA,103,ZONA CENTRO,5825
LICENCIADO JESUS RAMIREZ MENDOZA,415,PRIMO TAPIA ORIENTE,20289
GENERAL GORDIANO GUZMÁN,148,INFONAVIT LA QUEMADA,50170
TIERRA,SN,COLONIA SATELITE,58300
ERENDIRA,273,VISTA BELLA,28090
REY TEZOZOMOC,111,COLONIA PASCUAL ORTIZ AYALA,52250
MANANTIALES DE MORELIA,281,CAMPESTRE LOS MANANTIALES,58186
LA JOYA / JOSE TRINIDAD GUIDO,946,COLINAS DEL SUR,55809
ANTONIO ANCONA ALBERTO,97,COLONIA FELIPE CARRILLO PUERTO,58121
CURTIDORES DE TEREMENDO,897,BUENA VISTA,58241
DEL VIVERO,387,SIN NOMBRE,58196
RIO CUPATITZIO,1833,COLONIA JARDINES DE SANTIAGUITO,58111
CAPITÁN CARLOS PANINI,13 A,WENCESLAO VICTORIA SOTO,58410
SOLIDARIDAD,1057,FELISITAS DEL RIO,38040
FRAY. SEBASTIAN DE APARICIO,444,NUEVA UNION,28210
NUEVA TEPEYAC,344,SAN RAFAEL,58832
RIO CUPATITZIO,399,FRACCIONAMIENTO IGNACIO RAMIREZ,58113
MORELOS NORTE,3877 5,AMPLIACION LA SOLEDAD,6600
JUANA BARRAGAN,530,SIN NOMBRE,12349
CUAUTLA,50,ZONA CENTRO,5800
AGRICULTURA,545,AGRICOLA DEL SUR,58135
OLIVARES DE TZINTZUNTZAN,1046,ENRIQUE RAMIREZ,58223
ANTIGUO CAMINO A LA HUERTA,613,LA CALERA,58165
FUENTES DE MORELIA,337 A,FUENTES DE MORELIA,58800
NUEVO LEON,392,ISAAC ARRIAGA,51210
TULIPAN,18,NUEVA JACARANDAS,58075
MORELOS NORTE,6155,COLONIA LA SOLEDAD,50188
JOSE MARIA LINO PATIÑO,100,VICENTE GUERRERO,58189
ORIENTE 6,SN,COLONIA CD INDUSTRIAL,56200
EJE NORTE SUR,50,CIUDAD INDUSTRIAL MORELIA,64000
PERIFERICO INDEPENDENCIA,2520,COLONIA LOMAS,58068
19 DE OCTUBRE,SN,COLONIA AMPLIACION GERTRUDIS SANCHEZ,58123
MIRADOR MORELIA,65 A,MIRADOR DEL PONIENTE,58143
FLAMINGO,62,TORREON NUEVO,85116
GABINO LEON,62,COLONIA PRIMO TAPIA PONIENTE,58157
TORREON NUEVO,240,COLONIA AMPLIACION GERTRUDIS SANCHEZ,55115
CERRO DE VILLACHUATO,590,COLONIA LOMAS DEL TECNOLOGIC0,64480
TEPEYAC,150,IRRIGACION,1210
TENIENTE CORONEL FELIPE PARAMO,SN,ELIAS PEREZ AVALOS,98218
HEROES DE NOCUPETARO,1851,COLONIA CENTRO,50000
PERIFERICO REPUBLICA,1377,COLONIA EL REALITO,58384
ACUEDUCTO,3364,COL. OCOLUSEN,58279
PERIFERICO PASEO DE LA REPUBLICA,2400,EL REALITO,58297
LA HUERTA,4005,CAMELINA,58091
HEROE DE LA REFORMA,25,FRACCIONAMIENTO LEANDRO VALLE,58174
CALLE PASEO DE LA REPUBLICA,2424,COLONIA AMPLIACION EL REALITO,56115
